,date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
72,2022-01-13,85.91978238593856,55.4913847854903,38.14762931648244,103.07545267660177,166.87513951509516,72.34678794039854,66.65415701622025,132.50608031207776,195.08110486285614
73,2022-01-14,85.9412649089495,55.77979290012248,38.22855154009569,103.15240371194359,166.82986519178039,72.40036299550928,66.67920639088194,132.51946972051604,195.09489003177487
74,2022-01-18,85.86834027339623,56.285874679106016,38.25883636451649,103.15539723048092,166.77953706561343,72.46451373733797,66.68159517639211,132.4441353258726,194.8620802143464
75,2022-01-19,85.66579502984061,56.75879306876344,38.23991697249507,103.07497821369634,166.58843711782743,72.4558270289768,66.65257597207525,132.3796233214897,194.46355222281332
76,2022-01-20,85.4736316254702,57.072678833751276,38.15603870166899,102.95842664554704,166.20026307830872,72.48535730126463,66.65632977787695,132.2332174981225,193.84586583892792
77,2022-01-21,85.2344584317323,57.21287853916358,38.06805059390699,102.77442797427491,165.76557144768094,72.50096486343386,66.68293515043976,132.0733958702432,192.992675654499
78,2022-01-24,84.82069543186196,57.30485243456925,37.959145951374175,102.52927250190446,165.28889127290904,72.49988591010143,66.72202920635783,131.9343611504864,192.0424065466106
79,2022-01-25,84.52845361535839,57.51630323098266,37.86593043456779,102.36162078970379,164.80668905157023,72.51797538894529,66.66814221264742,131.8268433428545,191.1613403241326
80,2022-01-26,84.22420344944624,58.07721279815019,37.78429075725528,102.11814305729789,164.29819252369856,72.48639413329579,66.54829906645634,131.75076325912596,190.31689125513032
81,2022-01-27,83.8066938445604,58.44178704441454,37.73912911646466,101.83916376027776,163.8220693974839,72.42358155280735,66.38599940610612,131.59157513701803,189.4044143359061
82,2022-01-28,83.5408670841076,58.92688229013132,37.65034077188425,101.56694433681741,163.2624777925332,72.39147864104217,66.318452817139,131.50868486624745,188.34090240586767
83,2022-01-31,83.38165127786627,59.34047713865694,37.61701366783484,101.36489161828831,162.95976630412187,72.41642093159206,66.30725088456313,131.59973152382418,187.36581426204657
84,2022-02-01,83.31528568557616,59.7129364658247,37.62249460018161,101.24991017996004,163.0322149092265,72.5136952167166,66.36429683578307,131.79015939928203,186.90915546464348
85,2022-02-02,83.36305075871337,60.40382469970802,37.648548862284414,101.27033654174414,163.19601947771022,72.58155587315683,66.34149536150971,131.98760203135393,186.77806739263883
86,2022-02-03,83.45954157294048,61.045494534683414,37.70105060630595,101.28507913140345,163.32336562178426,72.68502522966764,66.37832273235654,132.26010849831277,186.68099802231097
87,2022-02-04,83.4085764817264,61.440809676447856,37.73470194423868,101.1751455870793,163.4470869136528,72.8257427768983,66.38742078044639,132.5015731824753,186.39213998170436
88,2022-02-07,83.19819351273608,61.9365313409677,37.78295932875568,100.98078699381036,163.42297236234376,72.88557770539724,66.35064350208732,132.66165877109268,186.11641749706672
89,2022-02-08,82.98251693206166,62.46541072876388,37.847483596184816,100.85183580230792,163.34113466344186,72.95558006800186,66.30352838656628,132.76005013620608,185.9173875530247
90,2022-02-09,82.98772772754296,62.795263422014315,37.92206601259016,100.78430065452223,163.31663260009302,73.0137852261518,66.30012835895941,132.92982308391038,185.78081598347376
91,2022-02-10,83.07907731189914,63.1279573816786,37.99410457273008,100.77267386765422,163.38615064539678,73.09857540560101,66.32910999391046,133.10751485375664,185.88847022362972
92,2022-02-11,83.11349572579023,63.397459433501865,38.054055072826415,100.67747802161922,163.37831967292615,73.1065978934422,66.28909861931024,133.09504930790158,185.93103897810084
93,2022-02-14,83.04474502685898,63.87037061182322,38.070104650050794,100.42089141718714,163.04768309814787,73.06348836164612,66.25035834158697,132.97680809528578,185.72968762307667
94,2022-02-15,82.91248092566266,64.08979508555468,38.063575131528175,100.19183344401003,162.5792375542214,73.00626171372559,66.19442381743927,132.72883677892997,185.53337076841296
95,2022-02-16,82.92238574351968,64.22890175845608,38.07167925396288,100.08949619754286,162.46358942984835,72.95086896246022,66.11960442540514,132.44776478602097,185.3716744627177
96,2022-02-17,82.99841433035456,64.44213478507106,38.12230458061711,100.03811724539244,162.4374485134979,72.92975323012539,66.03593744771997,132.267987726344,185.37161714392803
97,2022-02-18,82.903967420013,64.54661674290014,38.09562944512072,99.94222682479486,162.20999509247966,72.96294481552329,65.99673068370443,132.0948822743216,185.08483213288162
98,2022-02-22,82.80727453425101,64.61343080183292,38.06877494619951,99.84258472328531,161.85257174795132,73.00929768751688,65.96472784558523,131.9045995772697,184.65373751567705
99,2022-02-23,82.61736041794916,64.59822106385828,38.05478114976726,99.69934583954836,161.4629768309534,73.05027199334877,65.93815378082726,131.76786131593406,184.05819529087245
100,2022-02-24,82.409127357584,64.82868197235825,37.989030657385776,99.49006856729437,160.95952603276643,73.03969630663082,65.80344568889268,131.58106949964306,183.1844276609474
101,2022-02-25,82.15893298357508,64.88055208256033,37.90177552515788,99.3821453761056,160.61384914694403,72.95960427232285,65.71898662374477,131.44795409943737,182.33350156871094
102,2022-02-28,82.1942690009934,65.22544968324652,37.8662874367691,99.32982728088463,160.38670250629062,72.97955032852252,65.75878510527201,131.4361814505197,181.71970330939234
103,2022-03-01,82.11054181994457,65.68886765271958,37.828759089423045,99.33469419419286,160.257652923875,73.03379932445353,65.81043359093555,131.5018746792054,181.34860235872247
104,2022-03-02,81.90078825409567,66.16741397508869,37.693979548212255,99.27495589044067,160.09308140447922,73.02215764480351,65.85744539070056,131.44346016787182,180.91858724539028
105,2022-03-03,81.94790073555468,66.83921998352469,37.606988287176634,99.30227908414899,159.8953776056819,73.0533500884413,65.93683259146253,131.4320108708583,180.6228318437585
