,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-01-04,25.488927841186523,38.080162048339844,9.385947227478027,21.88018798828125,19.15022087097168,18.718463897705078,19.481914520263672,25.213638305664062,25.227169036865234
2010-01-05,25.571353912353516,38.39097213745117,9.558456420898438,21.957456588745117,19.12552833557129,18.725482940673828,19.24999237060547,24.966365814208984,25.319664001464844
2010-01-06,26.005891799926758,38.8507080078125,9.577625274658203,22.003801345825195,18.91156578063965,18.711448669433594,19.362823486328125,25.221614837646484,25.35329246520996
2010-01-07,25.803611755371094,38.79243850708008,9.782078742980957,22.243310928344727,18.837499618530273,18.711448669433594,19.27506446838379,25.309350967407227,25.563526153564453
2010-01-08,26.163238525390625,39.04495620727539,9.724578857421875,22.598709106445312,18.96095085144043,18.648277282714844,19.256263732910156,25.3492374420166,25.555116653442383
2010-01-11,26.02088165283203,38.9931526184082,9.730966567993164,22.845945358276367,18.886873245239258,18.697402954101562,19.45684814453125,25.492815017700195,25.50465965270996
2010-01-12,25.52638816833496,38.42982864379883,9.590404510498047,22.6605224609375,18.681140899658203,18.80268669128418,19.3753604888916,25.309350967407227,25.176715850830078
2010-01-13,25.82608985900879,38.5722770690918,9.699021339416504,22.753231048583984,18.86219024658203,18.93604278564453,19.58847999572754,25.64436912536621,25.462614059448242
2010-01-14,25.511402130126953,38.6823616027832,9.743745803833008,22.753231048583984,18.91156578063965,18.879884719848633,19.50072479248047,25.87567710876465,25.462614059448242
2010-01-15,25.3240909576416,38.37153625488281,9.545674324035645,22.459646224975586,18.648223876953125,18.78864860534668,19.3753604888916,25.700199127197266,25.21034812927246
2010-01-19,25.728679656982422,38.7212028503418,9.667076110839844,22.706880569458008,18.969165802001953,18.900949478149414,19.601016998291016,26.322372436523438,25.546714782714844
2010-01-20,25.271650314331055,38.119014739990234,9.641520500183105,22.359207153320312,18.6646785736084,18.760578155517578,19.39415740966797,26.099027633666992,25.201940536499023
2010-01-21,24.177766799926758,37.342002868652344,9.366778373718262,21.8415584564209,18.467166900634766,18.49386978149414,19.112091064453125,25.532691955566406,24.882396697998047
2010-01-22,23.698257446289062,36.45491027832031,9.060088157653809,21.509334564208984,17.825265884399414,18.45176124572754,18.69211196899414,25.253524780273438,24.403078079223633
2010-01-25,23.90804672241211,36.694496154785156,9.111202239990234,21.648408889770508,17.97339630126953,18.48685073852539,18.817480087280273,25.253524780273438,24.52921485900879
2010-01-26,23.57088851928711,36.46138381958008,8.951469421386719,21.55569076538086,17.924020767211914,18.46579360961914,18.8926944732666,25.109943389892578,24.56285285949707
2010-01-27,23.36859893798828,36.318939208984375,9.168706893920898,21.617496490478516,18.07215118408203,18.50790786743164,18.767332077026367,25.285423278808594,24.604900360107422
2010-01-28,22.949026107788086,35.93690872192383,9.123982429504395,21.370267868041992,17.55368995666504,18.458776473999023,18.623153686523438,25.125898361206055,24.461944580078125
2010-01-29,22.581899642944336,35.289398193359375,9.060088157653809,21.1539363861084,17.249187469482422,18.38859748840332,18.510332107543945,24.950416564941406,24.310583114624023
2010-02-01,23.48098373413086,36.45491027832031,9.213430404663086,21.470706939697266,17.446706771850586,18.52895736694336,18.62942886352539,25.093982696533203,24.621715545654297
2010-02-02,23.55590057373047,36.934078216552734,9.302882194519043,21.88018798828125,17.619522094726562,18.795663833618164,18.779865264892578,25.612459182739258,24.966487884521484
2010-02-03,23.286182403564453,36.61677932739258,9.200654029846191,21.748844146728516,17.660667419433594,18.662311553955078,18.648231506347656,25.26947021484375,24.983306884765625
2010-02-04,22.417070388793945,35.11455154418945,8.804515838623047,21.10758399963379,17.166893005371094,18.28331184387207,18.15930938720703,24.63135528564453,24.2601318359375
2010-02-05,22.836639404296875,35.12104034423828,8.906744956970215,21.014869689941406,17.33971405029297,18.234180450439453,18.12796401977539,24.59147071838379,24.192853927612305
2010-02-08,22.469520568847656,34.79728698730469,8.7278413772583,20.78309440612793,17.265649795532227,18.213130950927734,17.92110824584961,24.471826553344727,24.041488647460938
2010-02-09,23.016456604003906,35.52896499633789,8.817290306091309,21.184843063354492,17.41378402709961,18.430706024169922,18.102888107299805,24.66325569152832,24.4114933013916
2010-02-10,22.859113693237305,35.38004684448242,8.887575149536133,21.1539363861084,17.364410400390625,18.40964698791504,18.021398544311523,24.511709213256836,24.310583114624023
2010-02-11,23.248720169067383,35.98222732543945,8.906744956970215,21.470706939697266,17.545459747314453,18.557039260864258,18.12796401977539,24.679210662841797,24.59648895263672
