date,ensemble
2022-08-15,925997.0069773234
2022-08-16,929141.4702977962
2022-08-17,922057.905566408
2022-08-18,921460.2380204486
2022-08-19,913946.951062521
2022-08-22,898136.3785308741
2022-08-23,893062.6206641293
2022-08-24,895220.9200054492
2022-08-25,906296.5345020464
2022-08-26,878691.2967690143
2022-08-29,873482.5787840748
2022-08-30,865422.4821594867
2022-08-31,859058.0276747303
2022-09-01,867640.5235160999
2022-09-02,857172.2577781314
2022-09-06,857177.5128081036
2022-09-07,872670.4041693402
2022-09-08,883588.1823967227
2022-09-09,893135.6423087406
2022-09-12,899449.2092824115
2022-09-13,867246.5004796009
2022-09-14,867567.6877037678
2022-09-15,867991.3947428379
2022-09-16,862264.1512858067
2022-09-19,863180.9002166004
2022-09-20,852939.8921111164
2022-09-21,839590.6678502446
2022-09-22,838780.3119393826
2022-09-23,830938.3721905174
2022-09-26,822938.0895029488
2022-09-27,819629.531875412
2022-09-28,836975.9981001395
2022-09-29,827955.891195259
2022-09-30,816764.6378314018
2022-10-03,835195.1341816597
