date,ensemble,dji
2022-03-09,928800.71992569,909831.8078322402
2022-03-10,928191.707726288,906765.5372886921
2022-03-11,926365.8930183412,900482.1277470364
2022-03-14,925808.5293601992,900510.7425706895
2022-03-15,931778.91126709,916886.32280831
2022-03-16,936961.3283584596,931065.9288740121
2022-03-17,941613.0615516666,942482.0690225849
2022-03-18,945033.7681159975,949976.0564395365
2022-03-21,945936.7749702455,944456.2783111915
2022-03-22,949731.2663619998,951411.9226652359
2022-03-23,942384.4176086428,939140.2206437801
2022-03-24,953350.9676757816,948691.6992987766
2022-03-25,958122.5184455876,952881.849072821
2022-03-28,962568.4982994082,955469.0348636392
2022-03-29,973191.1977752688,964716.0005445358
2022-03-30,970759.9942787248,962928.855326975
2022-03-31,960688.33772802,947882.9034436552
2022-04-01,964718.3813782656,951707.3600422817
2022-04-04,966027.7930985416,954539.3734101022
2022-04-05,958840.2521716465,946866.8636605087
2022-04-06,957578.9980259784,942912.5726381426
2022-04-07,963869.1962609714,945292.1941857454
2022-04-08,962997.8429524234,949051.947115962
2022-04-11,949402.0906605074,937762.0111523072
2022-04-12,947318.7907559588,935364.345182326
2022-04-13,955697.514008652,944773.3903494372
2022-04-14,947909.4073780482,941674.8747434141
2022-04-18,945637.6313259776,940594.1312918579
2022-04-19,957397.6058294108,954247.4595001481
2022-04-20,962756.177411358,961069.6391916312
2022-04-21,949561.6443968776,951010.1406450614
2022-04-22,924385.9022247584,924185.9856765724
2022-04-25,928566.395892834,930693.0819926808
2022-04-26,906700.3179915544,908572.5420480419
2022-04-27,913024.1686299136,910260.389556657
2022-04-28,934072.9956902696,927055.7962368303
2022-04-29,903844.7218442004,901384.669181141
2022-05-02,906292.3070981372,903688.589572139
2022-05-03,910239.807646828,905527.8393939637
2022-05-04,937113.8195523456,931010.0872591964
2022-05-05,908846.7363335956,901952.0541546214
2022-05-06,905721.6364737249,899257.0289164537
2022-05-09,880297.4622837452,881389.8476100483
2022-05-10,881337.0368164142,879067.6158673469
2022-05-11,871128.4266179278,870139.6307299716
2022-05-12,868277.8944616321,867302.1720039186
2022-05-13,886724.4074338992,880049.4353110127
2022-05-16,885754.5041172947,880780.8750477136
2022-05-17,903478.5921160968,892566.2852246611
2022-05-18,870303.0800930636,860735.817377633
2022-05-19,869432.8118373225,854259.4179339136
2022-05-20,869320.9287868846,854499.1204678736
2022-05-23,869708.4661516079,871400.5514759857
2022-05-24,869653.8428153575,872722.919352643
2022-05-25,870103.1570959284,877961.6742874989
2022-05-26,871679.6645846979,892090.6705531576
2022-05-27,873744.8223688243,907828.5566330603
2022-05-31,873488.077332928,901737.549748953
2022-06-01,872919.6154431346,896902.4987254125
2022-06-02,875206.5102720568,908793.9866161636
2022-06-03,873028.2174893876,899265.9977417779
2022-06-06,873720.4607515335,899705.5769543898
2022-06-07,874379.5868073578,906931.4605571884
2022-06-08,873554.8247186624,899572.1122918285
2022-06-09,871213.8023742791,882130.3095579384
2022-06-10,868711.7420338326,858076.7742124917
2022-06-13,865754.9240670853,834131.2384719898
2022-06-14,865452.3077627412,829978.9926621128
2022-06-15,865717.330041855,838280.1743582352
2022-06-16,861743.9355797654,818013.4585765727
2022-06-17,859982.1765718309,816966.8286927671
2022-06-21,862787.6029066372,834500.5085003644
2022-06-22,861203.1415108853,833212.5745066479
2022-06-23,860875.9421586742,838521.531854011
2022-06-24,864195.0618454418,861025.8093964461
2022-06-27,864849.0011582774,859319.6505361276
2022-06-28,863491.6199514864,845891.5039065107
2022-06-29,861889.5047039735,848141.611345564
2022-06-30,860178.0288221071,841202.142908622
2022-07-01,862517.813068527,849998.905589767
2022-07-05,860048.126086685,846460.8641569972
2022-07-06,859692.3176150053,848370.369777194
2022-07-07,862892.67490538,857851.5926338184
2022-07-08,862649.2236459653,856583.304638431
2022-07-11,860286.0074265974,852092.1119715134
2022-07-12,858002.5382436063,846830.1341853718
2022-07-13,857120.9135695418,841129.965219109
2022-07-14,855020.5869988764,837231.6759691536
2022-07-15,861170.424750082,855219.6161022446
2022-07-18,858914.3520032405,849325.1225872926
2022-07-19,868336.2602469081,869946.694213773
2022-07-20,869122.0612668666,871252.9395591929
2022-07-21,875091.8454456081,875682.6317096023
2022-07-22,872954.0278604031,871921.2238175699
2022-07-25,873859.903576643,874401.744650069
2022-07-26,868913.9641829814,868156.0255291206
2022-07-27,878141.6598490505,880074.8469827644
2022-07-28,886195.7759252681,889150.7109662574
2022-07-29,895860.6464571895,897774.3966729929
2022-08-01,894111.5535214137,896497.0864664163
2022-08-02,888592.1982517604,885502.7480374022
2022-08-03,898829.9360409221,896882.5324118934
2022-08-04,898464.6381172466,894540.6012849978
2022-08-05,895250.0216277599,896635.6761720199
2022-08-08,897190.9046764583,897430.2713870449
2022-08-09,891813.7774805354,895841.4012721851
2022-08-10,909105.7473913784,910467.6334846823
2022-08-11,907689.0601678296,911210.0173237132
2022-08-12,922157.1219242916,922809.8048479704
2022-08-15,925997.0069773234,926947.8500177509
2022-08-16,929141.4702977962,933496.1602216582
2022-08-17,922057.905566408,928803.2223708129
2022-08-18,921460.2380204486,929314.8725012079
2022-08-19,913946.951062521,921325.2507133685
2022-08-22,898136.3785308741,903746.2463063655
2022-08-23,893062.6206641293,899536.3437622621
2022-08-24,895220.9200054492,901166.5345366508
2022-08-25,906296.5345020464,909982.9966019897
2022-08-26,878691.2967690143,882420.3549626165
2022-08-29,873482.5787840748,877379.7683587316
2022-08-30,865422.4821594867,868957.7210641939
2022-08-31,859058.0276747303,861292.3116346485
2022-09-01,867640.5235160999,865282.7448876362
2022-09-02,857172.2577781314,856044.5344886034
2022-09-06,857177.5128081036,851312.037711775
2022-09-07,872670.4041693402,863228.8838884128
2022-09-08,883588.1823967227,868510.8279880736
2022-09-09,893135.6423087406,878820.8130133385
2022-09-12,899449.2092824115,885097.389164271
2022-09-13,867246.5004796009,850209.6729848838
2022-09-14,867567.6877037678,851032.9364094269
2022-09-15,867991.3947428379,846296.8627796419
2022-09-16,862264.1512858067,842486.5534352469
2022-09-19,863180.9002166004,847878.3656451281
2022-09-20,852939.8921111164,839310.6817108035
2022-09-21,839590.6678502446,825030.2297460701
2022-09-22,838780.3119393826,822102.8158374507
2022-09-23,830938.3721905174,808811.3370222966
2022-09-26,822938.0895029488,799802.2053700841
2022-09-27,819629.531875412,796363.0879452047
2022-09-28,836975.9981001395,811362.3805824933
2022-09-29,827955.891195259,798840.0319247473
2022-09-30,816764.6378314018,785170.5277993546
2022-10-03,835195.1341816597,
