date,ensemble,ndx
2022-06-03,977774.2966655736,760405.1341084869
2022-06-06,977999.1868610388,763532.0478177886
2022-06-07,983458.5693370824,770322.2168645266
2022-06-08,978998.3451175692,764471.341023323
2022-06-09,968041.1689304356,743543.3060801008
2022-06-10,957562.5793552405,717063.7239898278
2022-06-13,935336.1509357456,684067.2626728241
2022-06-14,934830.3202587132,685483.4815300348
2022-06-15,934930.99651413,702577.3514346117
2022-06-16,932629.636897278,674325.8831380062
2022-06-17,932564.4972091678,682714.0697268972
2022-06-21,933503.7806201938,699728.5802445903
2022-06-22,933470.614281464,698574.1704310594
2022-06-23,933648.5716079714,708874.2613540735
2022-06-24,933615.47977829,733609.1796973478
2022-06-27,933729.005019379,727694.0943596722
2022-06-28,933051.3069473268,705243.7321470969
2022-06-29,932483.114970398,706485.4313682743
2022-06-30,931494.7947555544,697120.3727441162
2022-07-01,933460.2784523014,702087.1104495658
2022-07-05,931016.4443931584,713856.7999217887
2022-07-06,931532.1792564396,718261.7489175522
2022-07-07,934975.6863841632,733803.1101304713
2022-07-08,934673.9726178744,734811.5247110099
2022-07-11,932143.5945766068,718727.7855854948
2022-07-12,929128.9155293962,711741.2597559968
2022-07-13,928490.5070158464,710743.7933384512
2022-07-14,925545.852047638,713159.9049628437
2022-07-15,931998.5356181564,726202.1260504023
2022-07-18,931886.7055611114,719771.2934668702
2022-07-19,943778.924133606,742309.4777004266
2022-07-20,945980.4848110962,753839.1360964366
2022-07-21,951167.4321572116,764730.7237173665
2022-07-22,947727.7411596604,751220.6314048233
2022-07-25,952268.5432667696,747096.2512779761
2022-07-26,943591.7041992876,732460.8653475373
2022-07-27,958371.6933674548,763643.5415425382
2022-07-28,967087.2544361803,770697.3541899981
2022-07-29,986301.341355202,784641.2896533586
2022-08-01,985465.5278264696,784205.6119454992
2022-08-02,985130.1490426715,781831.280878258
2022-08-03,985794.3857339557,803141.7321958606
2022-08-04,984944.0806684193,806643.1914380394
2022-08-05,984480.6556443484,800380.2504134855
2022-08-08,985331.6262529067,797439.3371165451
2022-08-09,984105.9163778,788289.3951003834
2022-08-10,990746.8135563508,810720.3465158684
2022-08-11,991863.737136795,805488.7816245086
2022-08-12,998756.0692692412,822085.7824669845
2022-08-15,998838.0883961332,828225.0980186074
2022-08-16,1001112.4748756712,826287.746602933
2022-08-17,997285.1823088758,816328.2323178882
2022-08-18,999466.6800767286,818457.0878170499
2022-08-19,991952.9477870176,802513.9586119197
2022-08-22,979648.5788602064,781161.0757653122
2022-08-23,983130.7437949294,780630.8296008975
2022-08-24,986692.0009697876,782816.6747268818
2022-08-25,997460.2989972075,796495.1912117379
2022-08-26,971156.8015747984,763867.7717564853
2022-08-29,968830.1174249648,756544.3384031021
2022-08-30,954766.0658444748,747962.2213810877
2022-08-31,946076.904237114,743679.6550938074
2022-09-01,947180.4306654624,743836.5984897927
2022-09-02,946233.2574510002,733160.1866561186
2022-09-06,946067.9160964316,727880.0947720332
2022-09-07,947841.49999979,742913.6387598584
2022-09-08,947744.910337162,746658.7390130745
2022-09-09,948467.7286507604,762844.8582573886
2022-09-12,949598.3648838232,772021.4309402897
2022-09-13,943812.6765225712,729232.1041327717
2022-09-14,945058.6345079228,735339.3445257883
2022-09-15,943505.7783647496,722800.6797566455
2022-09-16,943272.9841104466,718794.4214316031
2022-09-19,943629.4819208104,724362.8938468484
2022-09-20,942338.3624964636,718198.1312136742
2022-09-21,939653.845783672,705244.9749115448
