date,a2c,ddpg,td3,ppo,sac,dji,nasdaq
2021-11-08,1045963.0824508666,1054885.2973780064,1055913.1457580568,1067854.8488663328,1052358.2461036148,1061345.0310631809,1104392.490200124
2021-11-09,1035723.6527229308,1047753.4770807651,1046575.8871394044,1062660.7891129148,1053513.8548758926,1058075.300418523,1096544.2706828967
2021-11-10,1029351.671516037,1046312.6780695346,1039135.3937312013,1061276.0288590086,1042835.6094993058,1051082.471681035,1080699.7482979163
2021-11-11,1028652.1328609466,1042953.1251520541,1037397.3252344972,1059469.2023361814,1044654.9033530656,1046458.8975296255,1083870.3693005983
2021-11-12,1030502.6966648102,1046399.883193436,1041180.1804514772,1063901.7058914793,1051934.754770607,1051675.8095010067,1095188.743552713
2021-11-15,1031336.5149932861,1049264.8204645542,1042401.5008021242,1063877.7563217771,1054018.8156150284,1051301.1896116037,1094460.672580978
2021-11-16,1041567.9842361449,1055113.7111658482,1050937.5274821168,1068526.276509155,1056902.4807685318,1052896.7380530736,1102617.140499278
2021-11-17,1041634.5305496216,1056532.3082270054,1049457.5020991212,1068952.004093994,1051469.7913688126,1046744.9833139386,1102502.265318754
2021-11-18,1047777.1386302947,1060211.2600550083,1053730.8520670778,1071084.6936234129,1052443.9717963638,1044994.1018988858,1114326.354446049
2021-11-19,1042210.8769376525,1061412.5030054478,1048323.1266184694,1070440.4048050535,1050001.4489692154,1037158.4922072919,1120435.733443367
2021-11-22,1045315.0027017822,1063068.2613214878,1051397.5725184327,1070788.9194077146,1049578.6657432022,1037661.58896642,1107431.3348462968
2021-11-23,1047476.0387819214,1061126.8008264927,1053550.0615702516,1069730.2544754636,1052940.5551703873,1043329.2510538177,1102410.9593563029
2021-11-24,1050278.113502449,1061453.4682306675,1055494.4798212892,1068931.3980911863,1055295.3148673477,1043054.7725686292,1106540.9201567979
2021-11-26,1018769.4708909454,1036811.5716242221,1024365.1151972658,1048881.6030777586,1029502.3239615861,1016689.1339976199,1083404.5966577264
2021-11-29,1030854.9925536193,1047385.5802301791,1034158.2254725343,1057371.299015869,1042710.1816886369,1023581.821330893,1108665.7808953992
2021-11-30,1013739.1819464797,1025990.465651932,1014740.5696116334,1035458.2175491942,1022419.119943947,1004581.241648719,1090864.0891272952
2021-12-01,998137.6537139053,1013543.4512323764,999128.4701929933,1025143.6966446532,1011580.2117179338,991131.5682803923,1073408.5413657932
2021-12-02,1016340.8994870452,1030694.7175745395,1020641.1218882448,1040494.0219162597,1029930.7266486589,1009127.8889941637,1081050.5797400454
2021-12-03,1000242.1153199462,1024604.417983475,1007369.8329935914,1036188.156437744,1023631.0965369645,1007388.3872841356,1062207.8151433875
2021-12-06,1012830.4952111816,1039207.4501490024,1021121.1434336549,1049227.461476196,1037368.4235022966,1026235.4547455304,1071274.9659583247
2021-12-07,1034432.6572831726,1054305.2129358677,1040974.3217936403,1064367.513203491,1059070.3318732681,1040580.0281169752,1103691.4214978337
2021-12-08,1035465.437268341,1055444.4600672154,1042435.4378977662,1067302.6983688963,1061981.3010962906,1041608.9810452805,1108334.4914380028
2021-12-09,1022008.0948065643,1046454.5156702426,1030979.0438090211,1060735.8275955808,1055013.5227454605,1041607.2740895269,1091786.9197441717
2021-12-10,1029074.351314476,1054465.6444391636,1036882.1612482911,1067766.4832352293,1066336.9091971817,1047908.4443556322,1104118.7043532082
2021-12-13,1006719.0236396103,1043642.5351099399,1015468.9755869752,1061255.7166336668,1055749.00158152,1038585.0520291493,1087256.0181555601
2021-12-14,1002701.7370265427,1037783.9036859897,1009965.6384516603,1056238.1620224607,1045808.0749381486,1035474.6372548327,1075922.1291520528
2021-12-15,1011524.0759776535,1050149.2675928501,1018433.1269999391,1069313.4348801267,1059982.2213996353,1046639.4934483625,1101252.898700227
2021-12-16,998673.4061070174,1041828.6770471957,1009059.9478159791,1066068.8684433592,1052614.945734352,1045771.6771432024,1072476.9960800495
2021-12-17,987854.3545269698,1029126.6767115024,996156.0708628541,1054230.3961685789,1039318.0457862321,1030267.6256268226,1068253.022488137
2021-12-20,973422.0969869308,1018105.1198267367,980281.8934183961,1042874.1413010253,1026850.4614661637,1017645.256813769,1056501.951722715
2021-12-21,995507.0215470962,1034023.5069879916,1003991.7189722902,1056501.960759033,1045616.1183188859,1033974.9059296683,1080747.7449969053
2021-12-22,1009828.8743727722,1044965.9075464633,1015410.6434183961,1067667.1810654295,1054002.8336280289,1041583.9456942269,1093853.5506498865
2021-12-23,1019958.8858939209,1054708.1510919956,1026315.3614436036,1076670.9334305418,1060637.7666495743,1047313.2857828566,1102511.706210027
2021-12-27,1031518.8190766716,1064562.4580225376,1038219.2899332887,1087785.4753464353,1077269.0777839127,1057562.5309101238,1120040.9325355892
2021-12-28,1032352.7026021385,1068437.7286981968,1039750.9064265138,1090615.5584763181,1078782.3844626846,1060354.3139437574,1114710.9882401484
2021-12-29,1033376.0803597984,1071527.6892847447,1040296.4001170045,1094537.0659683836,1080400.654291481,1062988.374265753,1114869.8328863215
2021-12-30,1029611.9028066215,1068941.1216425328,1036392.3005610353,1092701.0663498533,1076205.782732338,1060350.4448440492,1110684.4151021251
2021-12-31,1028836.2095704193,1070595.0098108677,1036420.0421305543,1093455.5820511472,1076983.4017737808,1058609.0085841666,1103314.1819682277
2022-01-03,1053124.8586311187,1080831.6137689976,1054958.4379664308,1096646.4260147703,1078250.5043509903,1065797.568248074,1115597.2436558697
2022-01-04,1055472.7144082948,1083366.1963037876,1064434.8798685914,1097106.7241257322,1084623.328272194,1072049.0092032226,1100586.3585723129
2022-01-05,1035199.8740471497,1067408.1999353794,1045912.5139017946,1084436.588795532,1070494.2506965103,1060613.543624213,1066246.5360016504
2022-01-06,1036566.6275801086,1065123.2801050572,1050488.8939829713,1078644.6615189207,1068363.8994086685,1055642.4332813583,1065812.5190839695
